Component,Metric,Unit,Value
Processor,Area,mm^2,5.34179
Processor,Peak Power,W,3.61369
Processor,Total Leakage,W,0.509052
Processor,Peak Dynamic,W,3.10464
Processor,Subthreshold Leakage,W,0.424482
Processor,Gate Leakage,W,0.0845691
Processor,Runtime Dynamic,W,4.20052
 > Total Cores,Area,mm^2,4.79213
 > Total Cores,Peak Dynamic,W,3.03149
 > Total Cores,Subthreshold Leakage,W,0.419692
 > Total Cores,Gate Leakage,W,0.0782163
 > Total Cores,Runtime Dynamic,W,2.24809
 > Total First Level Directory,Area,mm^2,0.535391
 > Total First Level Directory,Peak Dynamic,W,0.045212
 > Total First Level Directory,Subthreshold Leakage,W,0.00370577
 > Total First Level Directory,Gate Leakage,W,0.0060234
 > Total First Level Directory,Runtime Dynamic,W,1.81276
 > Total NoCs (Network/Bus),Area,mm^2,0.0142647
 > Total NoCs (Network/Bus),Peak Dynamic,W,0.0279334
 > Total NoCs (Network/Bus),Subthreshold Leakage,W,0.00108428
 > Total NoCs (Network/Bus),Gate Leakage,W,0.000329435
 > Total NoCs (Network/Bus),Runtime Dynamic,W,0.139667
Core,Area,mm^2,2.39607
Core,Peak Dynamic,W,1.51575
Core,Subthreshold Leakage,W,0.209846
Core,Gate Leakage,W,0.0391081
Core,Runtime Dynamic,W,2.24809
 > Instruction Fetch Unit,Area,mm^2,0.508885
 > Instruction Fetch Unit,Peak Dynamic,W,0.658264
 > Instruction Fetch Unit,Subthreshold Leakage,W,0.0334149
 > Instruction Fetch Unit,Gate Leakage,W,0.00393246
 > Instruction Fetch Unit,Runtime Dynamic,W,0.686613
 > Renaming Unit,Area,mm^2,0.0175911
 > Renaming Unit,Peak Dynamic,W,0.0463041
 > Renaming Unit,Subthreshold Leakage,W,0.000492676
 > Renaming Unit,Gate Leakage,W,0.000182809
 > Renaming Unit,Runtime Dynamic,W,0.0828693
 > Load Store Unit,Area,mm^2,0.36017
 > Load Store Unit,Peak Dynamic,W,0.150504
 > Load Store Unit,Subthreshold Leakage,W,0.0232096
 > Load Store Unit,Gate Leakage,W,0.00314068
 > Load Store Unit,Runtime Dynamic,W,0.490925
 > Memory Management Unit,Area,mm^2,0.0235478
 > Memory Management Unit,Peak Dynamic,W,0.0278783
 > Memory Management Unit,Subthreshold Leakage,W,0.00179676
 > Memory Management Unit,Runtime Dynamic,W,0.0956924
 > Execution Unit,Area,mm^2,1.426
 > Execution Unit,Peak Dynamic,W,0.632795
 > Execution Unit,Subthreshold Leakage,W,0.142069
 > Execution Unit,Runtime Dynamic,W,0.891992
First Level Directory,Area,mm^2,0.267696
First Level Directory,Peak Dynamic,W,0.022606
First Level Directory,Subthreshold Leakage,W,0.00185288
First Level Directory,Gate Leakage,W,0.0030117
First Level Directory,Runtime Dynamic,W,1.81276
BUSES,Area,mm^2,0.0142647
BUSES,Peak Dynamic,W,0.0279334
BUSES,Subthreshold Leakage,W,0.00108428
BUSES,Gate Leakage,W,0.000329435
BUSES,Runtime Dynamic,W,0.139667
 > Bus,Area,mm^2,0.0142647
 > Bus,Peak Dynamic,W,0.0279334
 > Bus,Subthreshold Leakage,W,0.00108428
 > Bus,Gate Leakage,W,0.000329435
 > Bus,Runtime Dynamic,W,0.139667
